question,answer
why is the sky blue?,"It is called Rayleigh Scattering, or Molecular scattering.  This is primarily caused by oxygen and nitrogen molecules, whose effective diameters are at least 0.1 times smaller than the effected wavelengths.  Rayleigh scattering is most influential at the alitudes above 4.5 km, occuring in what is called the pure atmosphere.  The amount of Rayleigh scattering is highly selective, being inversely proportional to the fourth power of wavelength.  Consequently, invisible ultraviolet radiation, at a wavelength of 0.3 micrometers, is scattered 16 times as readily as red wavelengths at 0.6 micrometers.  In the visible spectrum, blue wavelengths at 0.4 micrometers are scattered about five times as readily as red wavelengths at 0.6 micrometers.  The preferential scattering of blue wavelengths explains why the clear sky appears blue in daylight.  The blue wavelengths reach our eyes from all parts of the sky."
Can anyone explain why G.W. Bush has not been impeached yet?,Who's going to impeach him? The Republican-majority Congress?
How do I calculate deflection on a rectangular slab subjected to uniform pressure?,it depends on sea level of where your at.
What countries have nuclear weapons?,United States\nRussia\nUnited Kingdom\nFrance\nChina\nIndia\nPakistan\nNorth Korea(suspected)\nIran (suspected)\nIsrael(suspected)\nUkraine(suspected)
"If you had to give up one of your constitutional rights, which would it be?","My right to not have soldiers quartered in my home during peacetime, because I don't think they'd ever actually do it anyway."
Is Neon more or less dense than fresh water at room temperature ?,"At normal temperature and pressure (lets say 75 degrees fahrenheit and 1 atm of pressure), Neon's physical state is a gas, therefore with less density than water, which is a liquid under these conditions."
What are the peoples names that are in the current cabinet positions?,Department of Agriculture\nSecretary Mike Johanns\nDepartment of the Interior\nSecretary Gale Norton\nDepartment of Commerce\nSecretary Carlos Gutierrez\nDepartment of Justice\nAttorney General Alberto Gonzales\nDepartment of Defense\nSecretary Donald Rumsfeld\nDepartment of Labor\nSecretary Elaine Chao\nDepartment of Education\nSecretary Margaret Spellings\nDepartment of State\nSecretary Condoleezza Rice\nDepartment of Energy\nSecretary Samuel W. Bodman\nDepartment of Transportation\nSecretary Norman Mineta\nDepartment of Health & Human Services\nSecretary Michael O. Leavitt\nDepartment of the Treasury\nSecretary John Snow\nDepartment of Homeland Security\nSecretary Michael Chertoff\nDepartment of Veterans Affairs\nSecretary Jim Nicholson\nDepartment of Housing & Urban Development\nSecretary Alphonso Jackson
Where do you think mass / inertia come from?,"The Higgs boson doesn't generate mass (in any of the theories I know of), it just has an interaction strength proportional to mass.  If they don't find the Higgs, be ready for a whole pile of other particles.  I say mass comes from the same place as electric charge and color."
how do i become a citizen of new zealand?,Follow the source and will find plenty information for the same.\n\nPeace
why is hugo chavez so popular?,He's the most active vocal critic of Bush in Latin America.\nClaims that US is trying to destroy Venezuela\nHelping the poorer Latin American nations\nTaking care of the poorer people
how fast is the earth rotating on its axis?,"Firstly 1 day per revolution strictly isn't 24 hours since one revolution is completed in 23Hours 56minutes giving us the leap year phenomenon.\n\nIt takes 23 hours 56 minutes and 4.09 seconds for the Earth complete on revolution. \n86164.09 Seconds in total.\n\nRadians per second is the standard measurement for angular momentum (speed). The SI Unit for this is rad.s^-1\n\nEarths Angular Momentum = 2π/86164.09s\n= 7.2921159 x 10^-5 rad/s\n\nIf you want to know the avarage speed expressed in distance over time you need to find the circumference of the earth of your location. Lets use the equator as an example which is aprox 40076km.\n\n40076km x 1000 {Convert to Meters}\n= 40076000m\n\n40076000m/86164.09s \n= 465.11255 m/s (meters per second)\n= 1674 km/s (kilometers per hour)\n= 1047 miles per hour\n\n\nIf you want to know the spesific speed for you location find the latatude on a map and substitute \n\nCircumference = 2 pi r cos(x),\nwhere \npi = 3.14159...\nr = the earth's equatorial radius = 6378Km \nx = the angle of latitude. (Your location on Map)\n\nNow multiply your answer by 1000 to get distance in meters and devide by 86164.09 to get the speed in meteres per second."
How did JFK effect our economy?,he came up with aplan that pleased many americans but he didn't have time to see the flaws before he was killed the problem is many other presidents didn't see the flaws either and its avery big reason we are in financial debt i dont think they were corrected until reagan got in to office but my memory on this subject is only a85%
Why did president Bush get his Masters degree?,Oh.. he has a degree?
Why has the economic debate became important?,"""Economics is a social science that studies the production, distribution, trade and consumption of goods and services.""\n\nPeople are different and do things differently. People also engage in debates be it economical, religious or scientific because we all believe what we know ""is right"" and the other person ""is wrong"".\n\nAny subject that's attached deeply to our culture, be it politics, religion or economics will usually have huge debates surrounding it.\n\nHope this helps :)"
What is the difference between a DUI and a DWI?,"Driving under influence came about from people who were arrested for driving after taking drugs. still impaired but not intoxicated. Also DWI can stand for driving while impaired or intoxicated. In either event it is just a term for being arrested or fined for violating a local, state or federal statute of operating a motor vehicle while driving abilities are impaired due to the consumption, injection or inhalation of a controlled substance."
i need to get a visa for someone who lives in the Philippines to come here and marry me. where do i start?,"Contrary to common sense, the quickest way is NOT to marry her in the Philippines. It is usually faster to get her a fiancee visa, and marry when she comes to U.S. (You have to check for the specific country though).\n\nTo start the process, you need to submit the I-129F petition for fiancee visa to the USCIS. The form is at: http://uscis.gov/graphics/formsfee/forms/i-129f.htm\n\nAfter this gets processed, your fiancee can go to a U.S. embassy for an visa interview.\n\nMarriage visa (K3) takes up to a year to process, while fiancee visa (K1) takes much less (~4 months from petition to visa issued in Bangkok, Thailand, different in different countries).\n\nNote that you also have a slightly more difficult/expensive, but potentially faster option of enrolling her in a U.S. college or English study program, and getting her a student visa (F1)"
Are people with Rh negative blood types also classified in the ABO blood type system?,"Yes, I am exactly what you are asking about, Rh- negative, type O, and I'm listed as O-\n\nThe technically correct defintion though would be:\nBlood type: O Rh-\nBlood Group: O"
Anybody knows the Chapman-Kolmogorov equations?,"In mathematics, specifically in probability theory, and yet more specifically in the theory of stochastic processes, the Chapman-Kolmogorov equation is an identity relating the joint probability distributions of different sets of coordinates on a stochastic process.\n\nSuppose that { fi } is an indexed collection of random variables, that is, a stochastic process. Let\n\nPi1,...,in(f1 , ... ,fn)\n\nbe the joint probability density function of the values of the random variables f1 to fn. Then, the Chapman-Kolmogorov equation is\n\nPi1,...,in-1(f1 , ... ,fn-1) = ∫±∞Pi1,...,in(f1 , ... ,fn)dfn\n\nie a straightforward marginalization over the nuisance variable.\n\n(Note that we have not yet assumed anything about the temporal (or any other) ordering of the random variables -- the above equation applies equally to the marginalization of any of them)."
do u realy believe that there r other life forms in space?? i dont.?,"Lets say there's a million million million habitable planets out there.\nLets say 1 in a million of those has intelligent life.\nLets say 1 in a million of those has super-advanced technology to travel here.\n\nThat still leaves a million of 'em.  Where are they?\n\nAnd if interstellar travel is impossible, what difference would their existance make to us?"
even though quarks are the smallest indivisible particles they should b made up(see +details 4 cmplt qstn)?,"There is no definite answer to your question, since science has a limit to how small particles it can detect.  The basic theory in this area is that matter is just a standing wave.  A wave has no weight, but when encased in a sphere, it then has mass.  And mass requires weight.  This weight is so infinitesmally small it cannot be detected.  But these spheres, called photons, are held together with other photons making up quarks, which are held together by Glueon, which in turn makes up atoms, etc.  This is all based on the wave/particle duallity of light.  For more info on this, just e-mail me at msm0021@hotmail.com."
what is the length and duration of one revolution of the sun around the center of the milkyway galixy?,"Firstly, the milky way is in a galatic cluster, and that is in a super cluster.  (There's a lot of gravity out there.)  But those structures are too far away to detect sideway movement, only towards or away.  Also, their motion is highly relativistic.  So Galaxy is a natural place to stop.\n\nThe first figure will probably be within the margin of error for the second and third.  So, as I check wikipedia, I see that the sun is orbitting the galaxy at a rate of 217 kilometer per second and the earth is rotating around the sun at 29.783 km/s.  So, this person has traveled somewhere in excess (depending on how many seconds more than 46 years old they are) of 358,242,443,236.8 kilometers, or 222,468,557,250.0528 miles.  \n\nAlso, just as a comment, there is no ""point"" of the big bang.  It happened to the entire universe at once.  It's all expanding everywhere."
What is the weight of the smallest virus?,"75,000 molecular weight"
if i was traveling in a vehicle at the speed of light and turned on the headlights would they work?,"No. well, its absolutely impossible to travel at or faster then the speed of light, but lets pretend you can so i can actually give you an answer to the question. The speed of light is actually the ultimate speed limit to the universe, nothing can travel faster than light, so although you would expect the light to be going at twice the speed of light (you plus the speed of light)it can't because it is physically impossible for even light to travel faster than the speed of light so it would be going slower than you and not reach any path in front of you. Of course, if you turned on your headlights before you started moving, the light would be one step ahead of you.\n\nOf course, still, nothing can go faster then the speed of light because in the formula for time dialation(time slows down for an object moving close to the speed of light) t'=t/sqrt(1-v^2/c^2) where t' is the time passing for an outside observer, t is the time that passes for the object going at the high velocity, v is velocity, speed is the speed of light and ^2 is squared. (note: this formula is definately correct, it's part of einstein's theory of relativity and I've had to derive it myself for class in the past) so if v was bigger than c, you would have a number greater than one and therefore a negative number under a square root, which is impossible."
Are there any sudoku puzzle competition with prizes?,"Yeah, most definately. Here in the UK every newspaper has a sudoku, and some are prize ones. Prizes range in some you give champagne (if you are picked out) and for really hard ones you can get mobile phones, palm tops etc.\n\nYou could always enter the grandmaster competitions if you are after prizes for your sudoku skills."
What is tha real thing that kept life evolution on Earth? I think that Moon was more then Water?,Are u nuts. ahh your crazy
what is perceptual control theory?,"Perceptual control theory (PCT) is a psychological theory of animal and human behavior originated by William T. Powers.\n\nhttp://en.wikipedia.org/wiki/Perceptual_Control_Theory#History\n\nIn contrast with other theories of psychology and behavior, which assume that behavior is a function of perception — that perceptual inputs determine or cause behavior — PCT finds that an organism's behavior is a means of controlling its perceptions.\n\nPCT differs from engineering control theory in that the reference variable for each negative feedback control loop in a control hierarchy is set from within the system (the organism), rather than by a separate controller.\n\nThe Control Systems Group is a non-profit professional organization of individuals involved in research in and applications of perceptual control theory."
Who is right in the Israeli-palestinian conflict?,i think neither are totally right i think they should just both live on the land and learn to get along
what is black ice?,"Black ice\nBlack ice is a thin coating of ice on a surface, often a roadway. While not truly black, it is transparent, allowing the usually-black asphalt/Macadam roadway to be seen through it, hence the term.\n\nIt is usually deposited by freezing rain, mist, or fog. Because it contains relatively little entrained air in the form of bubbles, black ice is transparent and thus very difficult to see (as compared to snow, frozen slush, rime ice, or other typical roadway forms of ice). In addition, it often has a matte appearance rather than the expected gloss; and often is interleaved with wet pavement, which is identical in appearance. For this reason it is especially hazardous when driving or walking.\n\nBlack ice may form even when the ambient temperature is several degrees above the NTP freezing point of water. This occurs typically, and treacherously, when terrain contours and/or prevailing wind cause a local steep differential of atmospheric pressure and/or temperature or when the atmosphere has warmed up after a prolonged cold spell that leaves the temperature of the ground (and roadway!) well below the freezing point.\n\nBlack ice also refers to the slick layer that forms on roadways from a light rain after a period without any precipitation. The water mixes with the road dust and oil but doesn't wash away. This leaves the road surface as slick as ice, slicker than just being wet with water. This type of road hazard can occur any time of year, but especially in mostly dry summer months.\n\nIn either case, while definitely a real phenomenon, ""black ice"" may be cited as the cause of a car crash when, in fact, the real root cause may have been excessive speed, inattention, or some other fault on the part of the driver.\n                    & ALSO\n\nIt is a Top Selling Intrusion Detection!  This BlackICE PC Protection scans all inbound Internet traffic for suspicious activity on home or small business systems.\nYou can download it from the given link"
Someone took pictures of me for a homework assignment and now he's selling them. Is this legal?,"As far as I can tell, it is illegal to sell them without your consent.  Under U.S., they can be used for a ""socially useful purpose,"" but I don't see how selling them is useful.  Actually based on this article, you could possibly sue the person who is using your photo, though I doubt that you would get anywhere near the amount this guy got:\n\nA Los Angeles Times article notes that Nestle USA has been ordered to pay US$15.6 million to former model Russell Christoff for using his likeness without permission.\n\nA photo of Christoff appeared on Nestle's Taster's Choice coffee packaging and in advertisements for several years."
What are the products of the neutralization reaction between hydrochloric acid & magnesium hydroxide?,2 HCl + Mg(OH)2 --> MgCl2 + 2 H2O\n\nMagnesium chloride and water (a.k.a. dihydrogen oxide)
How do hydrogen bonds form?,"In chemistry, a hydrogen bond is a type of attractive intermolecular force that exists between two partial electric charges of opposite polarity. Although stronger than most other intermolecular forces, the typical hydrogen bond is much weaker than both the ionic bond and the covalent bond. Within macromolecules such as proteins and nucleic acids, it can exist between two parts of the same molecule, and figures as an important constraint on such molecules' overall shape.\n\nAs the name ""hydrogen bond"" implies, one part of the bond involves a hydrogen atom. The hydrogen must be attached to a strongly electronegative heteroatom, such as oxygen, nitrogen or fluorine, which is called the hydrogen-bond donor. This electronegative element attracts the electron cloud from around the hydrogen nucleus and, by decentralizing the cloud, leaves the atom with a positive partial charge. Because of the small size of hydrogen relative to other atoms and molecules, the resulting charge, though only partial, nevertheless represents a large charge density. A hydrogen bond results when this strong positive charge density attracts a lone pair of electrons on another heteroatom, which becomes the hydrogen-bond acceptor"
Have married a Chinese National.  What is the best visa option for her travel with me when I return to the USA,Apply for a visa in Beijing
What is EEUMA 143?,"it is actually EEMUA 143.  looks like you can buy it for 25 quid.  according to their web site, it is described as below:\n\n143\nRecommendations for Tube End Welding: Tubular Heat Transfer Equipment Part-1 - Ferrous Materials\n\nISBN0 85931 093 0\n£25.00\n\nDate(1985) (formerly OCMA Spec. No. TEW-1)\nThis specification covers recommended procedures for the tube-end welding of tubes ranging from ½ in (15 mm) to 1½ in (40 mm) nominal diameter and from 1.6 mm to 4.1 mm wall thickness to tube plates of 15 mm and over in ferritic and austenitic materials."
how come a chickens lay an egg every day? What will be the biology explanation for it?,"Do you REALLY want to know the answer to this question?\n\nThe answer to why chickens lay eggs is in reproduction. Just as women have monthly cycles of discarded eggs, so do chickens. The eggs you eat are the bi-product of the reproduction cycle in the form of an unfertilized egg. That red spot you might see on occasion, that's a fertilized egg and was the beginning of a chick but plucked from the nest before it had a chance to mature. In most commercial hen houses where chickens are housed in small cages, there are no roosters.\n\nI don't think chickens lay eggs every day and that is why you would usually need more than one if you want eggs on a daily basis, but chickens do lay often."
What's the difference between a frost and a freeze?,"Freeze is a particularly cold spell of weather, a snow storm or an ice storm.  Frost, like snow, is the result of deposition of water vapor in saturated air.  Therefore, you can have a frost-free freezer inside your home."
How can it RAIN when the temperature is 26 degrees F (which is happening right now here in SE Idaho)?,One of two things. The atmosheric temperature is much warmer than the ground air temperature and thus the precipitation doesn't have time to crystalize and freeze. Or your thermometer is broken.
explain  ic fabrication?,The lecture portion of ece444 introduces students to the fundamental theory of integrated circuit fabrication. \nTopics discussed: \n\n\nProcessing overview \nThe silicon wafer \nOxidation \nPhotolithography \nEtching processes \nJunction Diffusion \nBipolar transistor design \nDiffusion related processes \nChemical vapor deposition \nIon beam processing
WHAT IS BEING DONE TO PROTECT THE TERROST. FROM........BLOWING UP THE SEWER SYSYTEMS......ANYBODY?,"Minimal protections.  Since most cities are able to reroute sewer systems, it would not be a high priority protected infrastructure."
"what are some sinusodial equations that apply to the real world, ex. moon phases?",Vibration shape of a guitar or violin string.\nWave forms of sound waves.\nWave forms of radio waves.
difference between  ice and snow?,"Both ice and snow are frozen water.  Snow flakes are crystalized.  If you catch a ""fresh"" snowflake in the air with a glove, you can see that it really looks like the pictures of snowflakes - hexagonal, and symmetric.\n\nFor snow to change into ice, it has to melt first (getting rid of that crystalization), and then refreeze."
all india cbse board exam datesheet of 12th 2006?,"It has yet not been announced.\n\nKeep visiting\nhttp://www.cbse.nic.in\n\nYou might not be knowing , so I am telling you that you can choose this answer as the best answer if you are satisfied w/ the answer\nChooose mine\n\n\n\nGood luck"
What is past space?,"There is no 'past' space. Either it goes on forever or it comes to and end and that's it, nothing more. Concepts of infinity and nothing are difficult to wrap your mind around and this is why it's so hard to understand by meer human beings, an organism just barely come out from the tree swingers we once were not so long ago. In fact some of us still do live in the jungle and live a lifestyle not much different from chimps and apes."
