,names,products#,marked as helpful,marked as funny,post_date,Recommend?,times on record,review
682,SciDragon,166,3,0,"October 14, 2017",Recommended,353.3,"Brings me back to my childhood nights of playing Baldur's Gate, and I mean that in the best of ways. Filled with tactical combat, well-written (for the most part) characters, and a gripping core plot, this is one to grab if you're an RPG fan!"
683,Last Second Fail,141,3,0,January 2,Recommended,85.6,I hate myself after playing this
684,tntx82,157,3,0,"September 10, 2017",Recommended,261.2,"I love the tactical combat, the story is incredibly engaging and the overall experience unique. Very high replay value, overall 10 out of 10."
685,SmashTactics,53,3,0,"September 10, 2017",Recommended,212.0,This game is ♥♥♥♥ing amazing. Buy it
686,zGr.R@ven.UA,163,3,0,"September 17, 2017",Recommended,248.5,"This game is absolutely awesome! Let your friend take a trait which lets him explode after death and teleport him straight into the mass of enemies. Or turn your enemies into stone chikens and slap them with tentacle. Or do just nearly whatever you can come up with. And all of it is happening while you are exploring a really deep world rich with small detail, interesting stories, and unexpected plot twists. Anyone interested in more classic RPGs' should try this one for sure."
687,Zumax,"2,760",3,0,"September 30, 2017",Recommended,84.7,"Difficult, beautiful, immersive, Divinity Original Sin 2 managed to overcome the first in all respects. The inclusion of voices in dialogue left everything even better. I recommend to all who like old rpgs."
688,key,409,3,0,"November 15, 2017",Recommended,259.5,"One of the best turn-based RPGs ever made.  If you like like old-school CRPGs like Baldur's Gate and Dragon Age: Origins, just get this game.  It's as close to a pen-and-paper RPG as you are going to find in video game form, and it's awesome.  Significantly improved writing, combat, and general approachability from the first game.  Huge amount of customization and deep combat system.  Keep in mind this game is 1) quite long 2) requires you to read, think, and sometimes retry things a different way, 3) takes a bit to warm up.  Make it through the tutorial and the first town, before you think about making a judgement call."
689,Quasi,771,3,0,February 13,Recommended,101.7,50+ hours and still haven't left Fort Joy (Act I). I am still experimenting with different npcs and decisions as well as mods. I am sure I can easily past 200 hours in a year frame. Such replayability is rare for a story driven rpg mostly. A cornerstone for every RPG players' library.
690,Haqim,319,3,0,"November 22, 2017",Recommended,86.7,"Good, I like the combat and choices you make during the adventure. Towards the end quests and people attitude was bugged though."
691,J.C Staff is G.o.a.t,60,3,0,"September 30, 2017",Recommended,157.5,"As expected from larian, another very well done RPG game. Although the ending is slightly underwhelming and i kinda disappointed that D:OS 2 doesn't have free roam mode after you finished the story.  9/10 for me"
692,DARKSIGNAL,48,3,0,"September 17, 2017",Recommended,77.4,"Pure RPG Perfection.  This is an RPG in the truest form. Let me be clear, this game doesn't do any hand holding. From the character creation to party selection, you are really writing your own story. The combat is the most entertaining turn based system I have ever played. Your enemies will be very tough encounters but every encounter teaches you how to use your parties skills and the terrain to your advantage and you eventually start to win. Winning a fight in this game feels very very rewarding. If you loved the RPG's of old but want to experience them in a modern, compelling way in 2017, there is simply no better experience than Divinity: Original Sin 2  9.5/10"
693,Rayzenz,103,3,0,"September 16, 2017",Recommended,164.1,"Amazing game with a ton of freedom. Don't expect your hand to be held, but that makes the victories that much more satisfying."
694,.vex,95,3,0,"September 22, 2017",Recommended,97.2,"I never write reviews, but this game is just amazing. Can't stop playing it."
695,MadAsMax,47,3,0,"October 2, 2017",Recommended,99.8,ITS SO HARD TO FIND GAMES THAT SCRATCH MY ITCH FOR RPGS LIKE THIS DOES
696,Jesus,115,3,0,"September 22, 2017",Recommended,119.9,"It's incredibly good, go ahead and buy it"
697,RedZane,179,3,0,"November 7, 2017",Recommended,503.8,Never done a review but this game has rightfully earned a lot of praise.   I have played through the game entirely on tactian mode and can say this game has earned every bit of praise that people have put. I have spent (probably too many) hours on building a brand new character and running through a good portion on Fort Joy. The whole storyline is a amazing and the interactions between party members is on point.   The only complaint I have is that NPC's treat Fane as human until combat where the begin raining healing spells to his face as if they knew he was undead. Not a huge gripe and something you can generally ignore.
698,MightyFaptain,216,3,0,"September 30, 2017",Recommended,103.3,This game just had me 'WOW' trough all of it...  if you enjoy a good (more like amazing) story with options to how you play it out this is a game for you.
699,FireZoD,143,3,0,"September 15, 2017",Recommended,75.4,"This game has a full voice over... That's crazy! And awesome. If you love turn based RPG's, it's a must play."
700,PfuncTyrant,132,3,0,"September 6, 2017",Recommended,81.4,"The first act was amazing, i think i did just about everything there was to do.. i hear there will be a wipe upon release, looking forward to doing it all again!"
701,St.Ranger,119,3,0,"September 17, 2017",Recommended,168.9,Best RPG of 2017! Possibly GOTY!
702,Myhandsarefull,30,3,0,January 4,Recommended,195.2,Absolutely amazing game. Wish more games were like this
703,Skankinpig,59,3,0,"September 19, 2017",Recommended,36.7,"I'll start by saying i've not played all that far through the story - I've had multiple starts due to purchasing just prior to release and a Co-op partner who seems to enjoy playing several classes before sticking to one.   Interestingly enough, this has had the positive of showing me just how different the game can be with different class combinations. We've played combos where it seems that no matter how careful we are, the battlefield inevitably becomes a blanket of different elemental affects indiscriminately maiming everybody on it and we've had more tactical groups that have more control over such affects, without the volatile power behind their attacks.   We've settled on a slightly more understated group, methodically using status affects to control the flow of battle and tip it into our favour.   The game is beautiful looking, it's as deep as you wish it to be and the sheer amount of detail in the world is amazing. The UI is simple without being restrictive, the game will guide you without holding your hand and through that allows you to make your mistakes, or genius discoveries and whichever it be, you're left with under no illusion: That was your doing, for better or worse.   I always want to like games like this but often find the world doesn't feel alive enough, is to linear or awkwardly open to its own detriment - the balance is never quite right, but here, for me at least it has been struck and i've really enjoyed exploring and experimenting.   tldr:   The game is generally well polished, fun and of good depth. Looks beautiful, with an interesting story and the world feels richer for it. Worth a buy from any RPG fan, especially if like me, an rpg feeling like an MMO with no players in it just feels like an empty experience to you - you wont find that here."
704,MarthaMyDear,47,3,0,"May 25, 2017",Recommended,760.5,"It's still in Alpha, but I have to say Divinity: Original Sin2 is one of the best games I've ever played.  Sorry, I'm a terrible writer, so this isn't much of a review.  If you love RPG games, you'll love this one!  I like it so much, I bought the original Divinity just to give me something to play pending complete game release in September.  Thanks so much Larian Studios.  This is one of the very best Steam purchases I've ever made.   HIGHLY RECOMMEND!  :)  Update 9/17/2017:  Now that game has been officially released, let me add that the voice acting on finished game is great.  Narration and characters voices add a lot and make the game more of a long 'story'.  It's slowing me down because I love listening to every..single..line...which is good because I tend to run through most rpg games too quickly."
705,Elkieo,282,3,0,"October 10, 2017",Recommended,127.5,Really fun game with a lot of replayability. Great for solo and with friends. Highly recommended.
706,[NTF] TacticalNuance,161,3,0,"November 4, 2017",Recommended,12.5,Maybe the best RPG available on any platform. Probably the best modern RPG.
707,Darkhollow,264,3,0,"September 27, 2017",Recommended,146.3,"I would like to preface some things before I start my review: I have been a fan of Larian and their Divine Divinity games since the first game in the series that came out in 2002.  It has taken me 145 hours to complete Divinity Original Sin 2 and I just want to say that it was one of the best CRPG experiences that I have had since I finished Planescape Torment (for the first time) back in 2013.   Now onto the  Pro and Cons followed by my final thoughts.  Pro:   - Interesting story & interesting party members with choice & consequences - Amazing soundtrack - Great replayability (multiple endings, different classes & origins to pursue) - All dialogue is fully voiced (major props to Larian for taking the huge undertaking on fully voicing every line of dialogue in the game) - Robust crafting system - Interactive open world gameplay (picking up objects and moving them around to your advantage or to plan strategies) - Robust character & class customization with the option of respeccing  Cons:  - Optimization issues mainly in the second half of the game/later acts (solved via patches) - Some bugged quests that don't complete properly or don't trigger (solved via patches) - No search item bar option in the inventory for specific items (quality of life improvement)   Conclusion: The sheer amount of content and replayability that you get from this game is staggering and I cannot fathom how Larian have managed to create such an amazing game in such a short span of time (2 years).   I would like to thank Larian and everyone involved including the Kickstarter backers help create this masterpiece. The praise it has received from numerous gaming outlets is well deserved.  Now...do I recommend this game? This is one of those games that shouldn't be missed, because it's one of the best CRPG's ever created and if you have any incling of trying a turn based RPG then I can say without a shadow of a doubt that this game is worth your money."
708,DMC FAN,48,3,0,"September 14, 2017",Recommended,125.1,9.5/10
709,Danger From Dagger Falls,303,3,0,January 5,Recommended,184.0,"This game is so good, I'd drag my nuts through two miles of nails just to get that first-playthrough thrill again."
710,Zenmaster Albert,31,3,0,January 15,Recommended,367.6,"Amazing and immersive story, incredible soundtrack and the first RPG that really sunk me in. The atmosphere of the game is somewhat dark, but humorous at times with a sprinkle of childlike light themes. Has lovable, charming, but yet believable characters. The combat and all questing is never boring.  The game has been a real sense of accomplishment playing through it, it's so much fun to play with friends, so I'd really recommend this as a co-op game. However, playing solo is also very fun. All other games since I bought D:OS 2 have been outclassed by it in sense of enjoyment for me.  Not a short game either with all the mod capabilities, and I've played about halfway through the story in about 122 hours and I've still so much more to explore in the game.  Would really recommend - best RPG experience I've had."
711,Rhedin,154,3,0,April 25,Recommended,87.1,"I absolutely recommend this game.  It plays like a classic RPG with turn based combat, action economy, skills, spells, multiple ways to build your characters, even multi classing and having it have drop in drop out 4 player cooperative is a very nice feature, can even be modded to have larger parties though you will unbalance the game for yourself and disable achievements. The in game lore and stories play well from one arc to the next and the scenes in which they are set are beautiful.  My only complaints about this game would be the lack of interesting none human player races, though the lizard folk are really nicely designed.  The fact you can move far enough away from active combat (sometimes) to leave combat and thus get infinite and free action economy whilst the rest of your team is playing turn by turn."
712,Erdenstern,174,3,1,"November 27, 2017",Recommended,111.0,"If you did like the first game, you will enjoy even more this second part of it :)"
713,Warstrich,"1,286",3,0,"September 24, 2017",Recommended,182.9,"Instantly on my top five favorite games of all time and at the moment possibly a problem in my social and responsible life. As a matter of fact, I don't have time to write any more, as I have to get back into the game."
714,Barbarianna,370,3,0,"October 18, 2017",Recommended,133.9,"If Baldur's Gate and Dragon Age Origins has a baby, it would be this game. Beware: the combat system isn't forgiving and you need to plan carefully and learn to use the environment to your advantage.  tl;dr buy it"
715,Arsene-Lupin,517,3,0,"October 3, 2017",Recommended,44.2,"One CRPG to rule them all, one CRPG to inspire them, One CRPG to bring them all and in the darkness enthrall them In the land of Steam where Divinity shall never die.  ....  There are only two things you need to know about Divinity: Original Sin 2.  First, within one week of launch it became the highest-rated games of all time on Metacritic (it currently has a metascore of 95).  Second, all of that critical acclaim is completely deserved.  You see, a very long time ago there was a game called Baldur's Gate 2. It was incredible. An enormous CRPG with engaging combat, compelling characters, and an intriguiing narrative. It demonstrated just how good a roleplaying game could be, and established a standard of quality that would cast a shadow over every subsequent CRPG for decades. For a very long time, we convinved ourselves that Baldur's Gate 2 was an outlier. An abberation. That we would never see another game of similar scope, scale or quality again. And that we were wrong to expect such grand ambitions from even our most beloved of developers.  But we were wrong.  Divinity Original Sin 2 is the game we have been waiting for. It is a spectacular, transcendental experience. Compex, challenging gameplay married to a well-written and extraordinarily dynamic narrative; gorgeous visuals and skilled voice acting; a phenomenal soundtrack and an overall design that grants players an unprecedented level of freedom.  But you know all of this already. Original Sin 2 has already thoroughly enmeshed itself into the zeitgeist. That metascore did not happen by accident, and you know it. The 10,000+ user reviews that are almost exclusively positive are likewise no accident.  This is it. The game that was promised. The game we never thought would come. Divinity Original Sin 2 is, finally, the true successor to Baldur's gate, not because it has a similar style of gameplay, or a similar tone or narrative style, but because of what it represents: a new standard for the genre.  Truly, it is one CRPG fit to rule them all."
716,017,349,3,0,May 23,Recommended,120.6,"One of the best games I've played all year - maybe even longer than that. Co-Op makes this game one of the best experiences ever, and most of the issues with the game are fixed with the mods available on the workshop."
717,5UR35H0T,290,3,0,"October 7, 2017",Recommended,123.0,"Wow 29 quid for this game. im about 80hrs in i think im only half way through im loving every minute of it. It doesnt hold your hand, it lets you think (it rewards you for thinking). comparing it to other CRPG's is null and void its simply in a class of its own. if your in any way doubting buying this game just do it I have friends that are put off cause it looks ""old"".  forget about it its pure escapism.  I bounced off the first one twice and so was not sure wether to buy this but so glad I did. its my most favorite game for years. well done Larian keep up the sterling work."
718,DMC FAN,48,3,0,"September 14, 2017",Recommended,125.1,9.5/10
719,Dallas,290,3,0,"August 25, 2017",Recommended,35.5,"Outstanding job Larian Studios i don't regret paying 125 riyals. and believe me, i don't mind paying more.... Wait! I WANT TO PAY MORE ! thank you Larian Studios for the Divinity: Original Sin series. hats off to you. can't wait for the full release."
720,azarjan,226,3,0,"September 21, 2017",Recommended,97.3,i haven't had this much genuine fun playing a video game in so long
721,Oblivion#2427,107,3,0,"September 30, 2017",Recommended,498.3,"8.5/10  A friend of mine told me about this game and said that I should check it out cause I would probably like it. I didn't check for a week but after some more time I took a look. 10 minutes after first checking out the game I bought it and here I am, almost 100 hours in the game.  The game is huge, we played the first act for 20+ hours, and there are 4 acts! The gameplay is very interactive and feels great, you can, for example, create a puddle of acid and set it ablaze!  EVERYTHING is voice acted and the graphics look beautiful. Also the combat system is great for players that like tactical games. Your positioning and skill usage matter a lot, 1 wrong move might cause the end of you.  There's also a ton of replay value due to all the different classes, origin stories and decisions that you make. On top of that there's the Game Master mode where you can create your own campaign or play the ones from others aswell as the workshop which already has a ton of stuff on it.  The only 2 things that I dislike so far is the fact that a few quests have a tendency to bug out making you unable to complete the quest. Also the mages in this game are kinda underwhelming. Physical characters are much more potent. Im hoping they'll take a look into that.  All in all a great game and possibly one of the best rpgs ive played so far. I would recommend this game to anyone who likes to play rpgs and being able to play this game for months to come."
722,Kabooki San,136,3,0,January 24,Recommended,1.4,"The game looks stunning! If I knew a bunch of people that played this it just might be one of my favorites. Unfortunately I dont know anyone that plays and solo gameplay is rather slow, even for trying to just waste time. I'm sure the game picks up more later on in the game but I think I am pretty much done with it. 1hr on the books. I'd say its a great game, just not the style I'm in to."
723,DMC FAN,48,3,0,"September 14, 2017",Recommended,125.1,9.5/10
724,PfuncTyrant,132,3,0,"September 6, 2017",Recommended,81.4,"The first act was amazing, i think i did just about everything there was to do.. i hear there will be a wipe upon release, looking forward to doing it all again!"
725,Dallas,290,3,0,"August 25, 2017",Recommended,35.5,"Outstanding job Larian Studios i don't regret paying 125 riyals. and believe me, i don't mind paying more.... Wait! I WANT TO PAY MORE ! thank you Larian Studios for the Divinity: Original Sin series. hats off to you. can't wait for the full release."
726,I am Ahab,151,3,1,"September 22, 2017",Recommended,139.7,"In the begninnng, when the world was dark and formerless, the Elder Bespeckled Ones begot the RPG.  And it was good.  In the years that followed, theys left behind the dice and paper, moving into the realsm of digital wizardry, and in time they did beget the CRPG.  And it was good. A myriad of beardy, stats heavy mana did fall from heaven, and the faithful feasted on Baldurs Gates, Eyes of the Beholders, Neverwinters, Fallouts and Arx Fatalises.    A great time it was, indeed.  A time when quests could be solved by using your brain rather than murdering everything in sight.  A time when putting points into speech resulted in more than just a boost to bartering. A time when you could convince an endgame boss to kill himself if your stats would allow it.  Alas, a time of great darkness followed, and hither came the likes of Dragon Age 2 and Fallout 4, from whence there was little 'role-playing' and simply 'game' in its stead.  Bethesda and Bioware did cheer as they drowned in coin, but the 'R in the 'RPG' was thought lost forever, and the faithful seemed eternally doomed to walk the path of 'action adventures with skills trees but really you just have to murder everything',   'You don't need any of that old beardy old RPG nonsense' Dragin Age Inquisition cried.  'You need bland worlds of endless icons and fetch-questing between awkward digital sex scenes with elven waifus.  You won't have time for meaningful dialogue choices or stats that effect anything other than combat, not when there are farmers who need you to find lost sheep or villagers who need you to go into the forest and bring back10 rumpleberry leaves'.  All was thought lost...   But hark!  the Bespeckled Ones did hear thine prayer!  'A skill-tree doth not an RPG maketh!' cried Larian, and Divinity Original Sin did emerge from the darkenss, and it was good.  It was bloody good. It giveth from the fruits of meaningful dialogue, choices and actions with consequences, stats and character building that actually matter the game, and it blessed with the freedom to solve problems and quests in any way you could figure out.  And in the later years, Larian did beget Divinity Original Sin 2, and it was even better than the first in almost every way imaginable.  More complex, more engaging, more consequential to the players actions, better written, more co opy then before, just more in everyway!  And the faithful did rejoice! Multiple playthroughs were planned, and marriges and careers thrown to the wayside!  It was the RPG we all wanted...  The Bespeckled Ones have not forsaken us.   (FYI this is just a bit of a laugh.  DOS2 is brilliant - get it)"
727,stupidomen,40,3,1,"October 2, 2017",Recommended,176.6,10/10 would kill everyone in town again.
728,Kansiov,137,3,0,"September 24, 2017",Recommended,60.1,"Divinity: Original Sin 2 is not just a throwback to the glory days of Baldur's Gate and Fallout, it's a middle finger to the present-day state of games. The developers clearly love the job they're doing, and the effort they've put into this sequel shows. Furthemore, Larian Studios have been very transparent about the features you're getting for full price. If you love cRPGs, or even RPGs in general, this is a no brainer."
729,RALOBH,225,3,0,"September 23, 2017",Recommended,124.1,"I love this game, the story is very rich, the environment resembling the work of art, the combat system match that of xcom (which I also like).   I found some unfinished level / dungeon, sometimes the quests journal are confusing, very minimal hint and sometimes misleading (or is this part of the game?), e.g. the journal says to speak to person A, when I talk to person A, there's no dialogue concerning the matter.  70 hours in, I think the replayability of this game is sooo great, definitely will replay. Even better if Larian already polished the game further more.  But overall, I love this game. pardon the english"
730,Marson,300,3,0,"September 18, 2017",Recommended,260.8,"The best RPG so far, it's incredibly rich and complex in a good way."
731,Falco,212,3,0,February 3,Recommended,106.1,"I'm a big fan of Baldur's Gate series and have never found anything up to the same quality of turn based RPG. But for the first time I think a game came really close to it. The storytelling is a bit cliche, nothing surprising. However, the battles are quite challenging, interesting and varied and there is a LOT of content to keep you entertained for dozens of hours. Companions are great and add some great depth into the game. I hope this is a standard kept on RPGs now and with a better writting we will see better and better games.  Definitely worth buying full price."
732,Yeswac,351,3,0,"November 22, 2017",Recommended,53.8,"This game just exceeds all expetations. The exploration is fun and rewarding. The turn-based combat, though not my favourite style, is engaging, exciting and above all else, challenging.   I can quite happily lose countless hours in the rich and detailed world of DOS2 with so many options, skills and different choices to make, not to mention a tonne of lore reading which makes it seem that much more impressive and vast.  Do youself a favour and experience this fantastic creation from Larian Studios. It is so worth it."
733,Slicklie,92,3,1,"November 18, 2017",Recommended,205.4,Best Game Ever!
734,Quasi,771,3,0,February 13,Recommended,101.7,50+ hours and still haven't left Fort Joy (Act I). I am still experimenting with different npcs and decisions as well as mods. I am sure I can easily past 200 hours in a year frame. Such replayability is rare for a story driven rpg mostly. A cornerstone for every RPG players' library.
735,Diddle Schnitz,"1,322",3,0,"September 21, 2017",Recommended,41.8," 20 Hour Review 20 hours into Divinity: Original Sin 2 and I feel like I haven't even finished 1% of the game yet! I will update this review down the road! So far...  Larian has outdone themselves again! -Engrossing storytelling, dialogue and voice acting -Bottomlessly diverse combat systems -A sprawling and vibrant world that beckons for exploration -The complete absence of ""Go here, Go there"" style questing -Choice and consequence system like no other -Nearly absolute freedom to choose your character (s) fate -Everything you ever hoped for in an RPG  I have to say I'm not a fan of turn-based combat games and it was almost what turned me off from trying the first Divinity: Original Sin... but if that is your one bugaboo with this game I would highly recommend giving it a chance, the combat is just so incredible! There seems to always be more to learn! Thanks for reading, I will definitely update this review after more time in-game!"
736,Katalysta,144,3,0,"August 26, 2017",Recommended,165.0,"During early access, I was intensely frustrated with a save game issue that would delay progress in the beta area. I made this known in nothing less than a bit of a ""rant"" in a bug report. Within 24 hours, the devs had retroactively solved my corrupt save with no action on my part. Talk about a great turnaround. I love the game, but this made me like the company."
737,MrMarcG,314,3,0,"November 24, 2017",Recommended,46.8,玩一场几十个小时的英雄史诗
738,Solnaga,"2,313",3,0,"November 23, 2017",Recommended,97.6,"My nomination for ""The Even Better Than I Expected"" Award.  I never played the original but it looked very fun.  Boy was I wrong; it's better."
739,key,409,3,0,"November 15, 2017",Recommended,259.5,"One of the best turn-based RPGs ever made.  If you like like old-school CRPGs like Baldur's Gate and Dragon Age: Origins, just get this game.  It's as close to a pen-and-paper RPG as you are going to find in video game form, and it's awesome.  Significantly improved writing, combat, and general approachability from the first game.  Huge amount of customization and deep combat system.  Keep in mind this game is 1) quite long 2) requires you to read, think, and sometimes retry things a different way, 3) takes a bit to warm up.  Make it through the tutorial and the first town, before you think about making a judgement call."
740,GhostfaceUrkel,342,3,0,"September 17, 2017",Recommended,42.8,"Best Isometric RPG of all time; nothing can top its combat and multiplayer mechanics. Furthermore, there seem to be a multitude of different approaches for each scenario.  Having played in early access, I restarted to discover that I was a homicidal maniac the first time through. The game rewards patience and immersion."
741,Kairos,"1,471",3,0,"November 25, 2017",Recommended,205.5,"""Better than I expected."""
742,Kabooki San,136,3,0,January 24,Recommended,1.4,"The game looks stunning! If I knew a bunch of people that played this it just might be one of my favorites. Unfortunately I dont know anyone that plays and solo gameplay is rather slow, even for trying to just waste time. I'm sure the game picks up more later on in the game but I think I am pretty much done with it. 1hr on the books. I'd say its a great game, just not the style I'm in to."
743,Thaz,146,3,0,"September 12, 2017",Recommended,241.3,"This game is just perfect, Thanks to Larian we can turn The witcher page, and go to adventure again !"
744,dknyxh,315,3,0,"September 28, 2017",Recommended,139.6,"20 hours in, still in act 1. So much content and details. Combat is an upgrade from the first game. 10/10"
745,"Noot Noot, Motherfucker",437,3,0,"September 21, 2017",Recommended,23.6,"I wanna cry at how ♥♥♥♥ing beautiful this game is.  This PIECE OF ART not only deserves your money, it deserves your unconditional love and respect.  - 10/10 want to buy it again"
746,Jake,536,3,0,"September 19, 2017",Recommended,89.5,"I'm still at the very beginning of my journey but already I can appreciate the freedom I feel when playing this game. By ""freedom"" I mean minimal hand-holding, quests where you actually have to think for yourself and fights where you also have to think before making a decision. I'm so happy that there still are games that can make me feel like this but at the same time scared how few games do (at least for me) these days.  UPDATE: This game is awesome!  UPDATE 2: Still not even nearly finished but whoa it just keeps getting better!"
747,azarjan,226,3,0,"September 21, 2017",Recommended,97.3,i haven't had this much genuine fun playing a video game in so long
748,Nholcrais,723,3,0,"September 6, 2017",Recommended,29.2,This may very well be the game that breaks the 96 metascore record for PC gaming.
749,௵Darkwraith Turk,327,3,0,"September 21, 2017",Recommended,274.9,good
750,TitanNZD,97,3,0,"October 1, 2017",Recommended,139.7,My game of the year.  I do not write reviews or rate things that often. Only the exceptional games really make me want to vote for them. This game is one of those exceptional games that I will never forget..   Thank you for the amazing game Larian Studios.
751,Beni_Manggala,29,3,0,"September 30, 2017",Recommended,25.8,"Mainly played OFFLINE This is amazing game. Very fun single player. i'm busy at work, but managed to play more than 10 hours in 2 days.  The cons: quest markers and quest logs. You'll know what i mean.  9.9/10 Buy it without discount. The dev deserve your money. "
752,Hydra Bite,205,3,0,"October 1, 2017",Recommended,73.6,"Great game, but still dumb mechanics in combat that cause it to be broken.  Anyways, amazing game, Long story, kinda one time play through, but is the best virtual game to duplicate a TableTop RPG.  They designed it perfectly for how players want to play. With dual co-op locally, and 4 player coop online, and any mixture of the two.  Along with Dungeon master capablilty, and steam  ----needs to be fixed in these areas. If you want to play lonewolf, you will without a doubt lose and have a disadvantage later in the game from fighting events that are designed for losing turns..... THATS the problem needing to be addressed... WHY are there so many freaking lost turns in this game. Stunned makes sense, Feared, is okay. Why is knocked down the same as stunned. That destroys LoneWolfs chance and bonus, you need more members to counter lost turn CC. Why isnt it 2AP to stand up from knockdown?  And p.s.( summons is the op thing right now)"
753,Ferris,411,3,0,"September 15, 2017",Recommended,74.9,bloody brilliant
754,Hariwulf,113,3,0,"September 20, 2017",Recommended,133.0,"So far so good.  Overall, a big improvement over the already awesome Divinity: OS.  The game can be challenging and perhaps a bit frustrating at times, if faced with bad tactics or little patience. But exactly for this reason, it gets extremely rewarding to beat a tricky encounter (even when you cheese the enemy).  Little advice: keep an eye on the enemy level, enemies with a higher level than your party members are beatable, but they require good strategy, environmental consciousness and caution!"
755,Juwong,325,3,1,"September 15, 2017",Recommended,78.2,Best Game Ever!  Just Play or die now...
756,Kindra,108,3,0,"September 15, 2017",Recommended,688.6,"A freedom of choice RPG of amazing quality. The turned based combat is so fluid and tactical you'll not want to play any other game. being able to do what you want to do how you want to do it great. sure you can be the good guy and shrug off the insults that some npc jerks give...or go on 'i've had enough' rampage and literally rip off their  faces, and still be able to finish the game completely.  Divinity: Original Sin is a 10/10 best game in my library, and Divinity: Original Sin 2 is better in every way.   20/10 :D"
757,Haqim,319,3,0,"November 22, 2017",Recommended,86.7,"Good, I like the combat and choices you make during the adventure. Towards the end quests and people attitude was bugged though."
758,J.C Staff is G.o.a.t,60,3,0,"September 30, 2017",Recommended,157.5,"As expected from larian, another very well done RPG game. Although the ending is slightly underwhelming and i kinda disappointed that D:OS 2 doesn't have free roam mode after you finished the story.  9/10 for me"
759,DARKSIGNAL,48,3,0,"September 17, 2017",Recommended,77.4,"Pure RPG Perfection.  This is an RPG in the truest form. Let me be clear, this game doesn't do any hand holding. From the character creation to party selection, you are really writing your own story. The combat is the most entertaining turn based system I have ever played. Your enemies will be very tough encounters but every encounter teaches you how to use your parties skills and the terrain to your advantage and you eventually start to win. Winning a fight in this game feels very very rewarding. If you loved the RPG's of old but want to experience them in a modern, compelling way in 2017, there is simply no better experience than Divinity: Original Sin 2  9.5/10"
760,RT-XD,296,3,0,"October 9, 2017",Recommended,144.4,"I've been holding out on writing a review for this game until I finished it, which took ages because I put the difficulty to tactician mode which made things extremely difficult!! (But very fun!) I put 144H to finish one playthrough.  The best way I can put it is: it's probably the best game I've ever played since Witcher 3.  I backed this game after playing the first Original Sin, which left me wanting to play even more! I definitely made the right decision. There's a lot of freedom in this game; playing with friends, playing alone and even doing our own DM games. I only played it in Single player mode so far, but I'm very much looking forward to playing with friends when they get the game. Here's a general pros and cons list (from a single player perspective):  + Graphics are great + Runs really well + Gameplay is fantastic (if you like turn-based games) + You can pretty much do anything and kill anyone you want + Voice acting is phenominal + Companions each have their own backgrounds which tie in with the main story line, really giving you a sense of wonder and motivation to find out what's going on and how to 'fix' it. + Workshop and Modding (read below for more)  - There were a few issues with quests not finishing properly, or not being able to talk properly to some NPCs, leading to missed XP and story (but a lot of that got fixed recently) - Tactician mode is difficult. Really makes you work hard to find as much XP before moving onto other parts. Especially at the beginning of the game.  Now here's the BEST part of all this: Larian even gave us the Divinity Engine 2 to us for making our own Campains and DM games. Which means...we can look forward to people creating their own stories and Campaigns in the future - something which I really look forward to seeing and playing.   Get it now! It's totally worth it!  EDIT: Nominated for the ""Even better than I expected"" award. Because it truly was better than I expected...makes sense right?"
761,AAaAaaaaaaaaaAAAAaAAaaAaAAaaaAAa,279,3,0,"September 26, 2017",Recommended,191.4,"A modern day masterpiece, something you'll regret not experiencing."
762,FlyK,107,3,1,"September 22, 2017",Recommended,362.5,This should be the best RPG of 2017!
763,Hasky620,189,3,0,"October 8, 2017",Recommended,331.3,"The best game I've played in.......ages. It's freaking incredible. It can kick your♥♥♥♥♥while being beautiful, and it requires tactical brilliance to get the most out of your team, but when you get them working together well, they're a well-oiled killing machine.  The graphics are gorgeous.  The gore is functional.  The character build options are nearly limitless.  The loot is wonderful.  I've died over and over, and I'm not even frustrated, I'm just determined to keep trying, because theres no way in hell im giving up on this one.  9.99999999999/10, and thats only because you cant make yourself a fighting chicken with polymorph."
764,Metric,352,3,0,"September 25, 2017",Recommended,106.4,"I usually have very little patience for games and lose interest quick, but this is seriously the best RPG I've played."
765,tempestary,134,3,0,"September 30, 2017",Recommended,123.8,"First, I want to say: the game is a masterpiece indeed.   I only recommend to play it a bit later, maybe in a month or so, when all of the necessary patches & fixes are here to make your gameplay truly breathtaking.   For now it's possessed with some nasty bugs that affect your gaming experience, missing strings here and there and so on.  The game however is a must-play and I actually recommend everyone familiarize themselves with it."
766,Sheb,211,3,0,"October 7, 2017",Recommended,138.5," Game of the year for sure.  I wouldn't even know where to start with my endless praise for this game. Beautiful graphics, tactical combat that you can be very creative with, superb voice acting, an expansive world with adventures waiting around every corner, and an amazing soundtrack to accompany it all. You will be doing lots of exploring, and you can even do it with friends.  This game is an instant classic, that harkens back to the classics and resurges them to a modern beauty."
767,Poirier 2019 boi,197,3,1,"September 23, 2017",Recommended,126.9,Don't think just buy
768,Luke Ogle,144,3,0,"September 24, 2017",Recommended,90.0,One of the greatest RPG's ever created if not THE greatest RPG ever made. Buy it if you're a fan of having fun. 10/10
769,raptorash,350,3,0,"September 30, 2017",Recommended,21.4,One of the best games I have played in a long long time.  I give it 10 Sassy Lizard Companions out of 10
